Catalyst,B.E.
Fe9Ga3,0.454399634
Cd9Pb3,0.811353805
Cu9Sn3,1.415836194
Fe9Ga3,-0.096526126
La12,-0.699858561
Cd9Sn3,0.571562465
Fe9Ga3,-0.182544711
Fe9Pb3,0.186741115
Fe9Pb3,0.035971681
Fe9Sn3,0.080339842
Fe9Tl3,0.35795419
Fe9Zn3,0.175473153
Fe9Zn3,-0.374844976
Fe9Zn3,-0.468571731
Fe12,-0.138559006
Cd9Sn3,0.644579996
Ga9Tc3,0.34553886
Cd9Tl3,0.957661661
Ga9Tc3,0.227917517
Ga9Tl3,0.049118725
Ga9Tl3,0.174004419
Hg9In3,1.817649284
Hg9In3,1.908509864
Hg9Pd3,1.870960059
Hg9Tl3,2.139307298
In9Tc3,0.716277094
In9Tc3,0.384301204
Ir9Sn3,1.077209978
Cd9Tl3,1.105369815
Ag3In9,0.742415125
In9Tc3,0.52761159
Al3Pd9,0.468812824
Cd3Pd9,1.587113624
Cd3Pd9,1.724517371
Hg3Pd9,1.59879792
Hg3Pd9,1.699181259
Hg3Pd9,2.001996342
Hg3Pd9,2.931202923
Hg3Pd9,4.079471756
In3Pd9,1.50076061
In3Pd9,1.597194761
Pb3Pd9,1.653913082
Pb3Pd9,1.90448462
Pd9Re3,2.229669229
Pd9Rh3,1.530110537
Pd9Sn3,1.645458096
Pd9Tl3,1.937981561
Pd9Zn3,1.95004083
Pd9Zn3,1.30657759
Ag3Pt9,1.440918968
Al3Pt9,0.529449719
Al3Pt9,0.751655975
Au3Pt9,1.795238397
Cr3Pt9,2.008651974
Ga3Pt9,1.14836176
Ga3Pt9,1.416224501
Hg3Pt9,1.693630953
Pt9Re3,2.70579103
Pt9Ru3,2.441757748
Pt9Sn3,1.39394967
Pt9Sn3,1.807153446
Ag3Co9,3.551670367
Al3Pt9,1.894153682
Au3Pt9,3.818097027
Pt9Zn3,1.153793697
Pt9Zn3,1.469163976
Co9Sn3,2.748276844
Nb3Re9,-1.571846813
Sn12,0.702435888
Sn12,0.488000795
Sn12,1.727745049
Sc3Ta9,-3.299247366
Sc3Ta9,-3.000051262
Sc3Ti9,-3.401660811
Sn3Tl9,0.601201376
Tl12,1.399454261
Tl3Y9,-3.847753081
Al3Zn9,-0.629570604
Re9W3,-0.842943501
Tl12,1.328269825
Tl12,2.323133802
Sn3Zn9,0.207862455
Tl3Zn9,0.029897011
Co12,-0.20143499
Cr9Ru3,-1.729935157
Al9Co3,-1.468027492
Cd9Co3,1.426044409
Mn9Ni3,-1.512671577
Mn9Ni3,-1.426740068
Al9Co3,-1.579055245
Cd9Co3,1.438854712
Al9Co3,-0.909329209
Co3Mo9,-0.774133258
Mn3Re9,-1.271170545
Co3Ti9,-3.579034271
Co3Ti9,-3.398681436
Al9Co3,1.9701612
Co3Mo9,0.945854914
Au9Co3,1.135275398
Au9Co3,1.168075864
Au9Co3,2.546402798
Au9Co3,1.256541297
Co3Cu9,0.829626114
Au9Ni3,1.540797672
Co3Cu9,1.233203454
Co3Cu9,0.179049273
Co3Cu9,0.17685794
Co3Hf9,-3.706723826
Co3Cu9,0.88945796
Co3Hf9,-3.385057377
Co3In9,1.209126821
Co3Ir9,1.062165348
Co3Ir9,0.708659403
Co3Ir9,0.644852246
Co3Ir9,0.608941246
Co3Ir9,1.636411808
Co3Mn9,-1.493819122
Co3Mn9,-1.368031779
Nb12,-2.977393839
Nb12,-2.982999248
Nb12,-0.958595012
Ag3Ir9,0.33599678
Ag3Ir9,0.038693227
Ag9Y3,2.438929125
Ag9Y3,-0.014959458
Pd12,1.359148895
Pd12,1.499089559
Pd12,2.650838321
Ti12,-3.455084921
In12,0.544134614
Pb12,0.905549684
Os3Y9,-3.684883425
Ru3Y9,-3.743443955
Rh3Y9,-3.812580463
La9Pd3,-3.298453882
Ag3La9,-2.999436828
Ti12,-3.254056741
In12,0.727110898
Ti12,-0.985057402
In12,2.195566426
Mo12,-1.927141362
Hf9Os3,-3.653161346
Hf9Pt3,-3.850242106
Mo12,-2.116413272
Mo12,-0.896368563
W12,-1.891232132
Rh3Ti9,-3.442839662
Ta9Ti3,-3.379714149
Re12,-0.715872325
Re12,-1.20893607
Os12,0.286972479
Os12,-0.129969325
Mo9W3,-2.341151683
Os9Zn3,0.429612376
Os12,0.889385986
Ru12,0.046446023
Ru12,-0.376089897
Ru12,1.093764024
Ir12,0.750792558
Ir12,0.907405909
Ir12,1.610636505
Rh12,0.595410113
Rh12,0.598425407
Rh12,1.81037677
Pt12,1.417018665
Pt12,1.803689572
Pt12,2.529101256
Ta12,-3.260459443
Ta12,-3.040309688
Ta12,-0.969851273
Zr12,-3.425847785
Zr12,-3.135682731
Zr12,-0.754873585
W12,-2.133600254
W12,-2.198106472
W12,-1.179627777
Y12,-3.62765802
Y12,-3.648769292
Y12,-0.642159951
Zn12,0.307014479
Zn12,0.078724574
V12,-3.230985841
V12,-3.167489573
V12,-0.989690548
Tc12,-0.82013247
Tc12,-1.287207166
Tc12,-0.110626385
Sc12,-3.6918909
Sc12,-3.751788326
Sc12,-0.913253091
Cr12,-2.499425337
Cr12,-2.500851622
Cr12,-0.926688303
Cu12,0.815140814
Cu12,0.927200286
Cu12,2.560818709
Al12,-2.040371468
Al12,-1.588916378
Al12,0.903947614
Bi12,0.980499495
Hg12,1.846249265
Cd12,1.025209024
Cd12,0.904440412
Ir3Tc9,-0.964463827
Ir3Tc9,-1.253143684
Ir3Tc9,-0.197090285
Au9Bi3,1.920749544
Au9Bi3,2.02131588
Au9Bi3,1.794283549
Au9Bi3,1.863528766
Ir3Tc9,-0.7208999
Bi3Cu9,0.879596963
Bi3Cu9,0.501382129
Bi3Cu9,1.261566151
Bi3Pt9,1.737316517
