Alloy,Element 1,Ratio,Element 2,Carbon B.E.,Oxygen B.E.,AN,AM,G,P,R,EN,M.P.,B.P.,H_FUS,DENSITY,IE,SE,AN',AM',G',P',R',EN',M.P.',B.P.',H_FUS',DENSITY',IE',SE',ElectronAffinity,Pauling,WorkFunction,dBandCenter
Ni3Ti,Ni,3,Ti,2.1,-1.4,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,22,47.87,4,4,1.76,1.32,1941,3560,14.2,4.51,6.83,1.93,1.16,1.91,5.77,-1.29
Rh3Y,Rh,3,Y,1.6,-1,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,39,88.91,3,5,2.12,1.11,1795,3618,11.4,4.47,6.22,0.96,1.14,2.28,5.91,-1.73
Ni3Al,Ni,3,Al,1.6,-0.2,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,13,26.98,13,3,1.18,1.47,933,2792,10.8,2.7,5.99,0.8,1.16,1.91,5.77,-1.29
Pt3V,Pt,3,V,2.2,-1.3,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,23,50.94,5,4,1.71,1.45,2183,3680,21.5,6,6.75,2.38,2.13,2.28,6.74,-2.25
Rh3V,Rh,3,V,1.6,-1.2,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,23,50.94,5,4,1.71,1.45,2183,3680,21.5,6,6.75,2.38,1.14,2.28,5.91,-1.73
Ru3Ti,Ru,3,Ti,1.4,-1,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,22,47.87,4,4,1.76,1.32,1941,3560,14.2,4.51,6.83,1.93,1.05,2.2,5.73,-1.41
Ru3Hf,Ru,3,Hf,1.6,-1.2,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,72,178.49,4,6,2.08,1.23,2506,4876,27.2,13.3,6.83,1.71,1.05,2.2,5.73,-1.41
Ru3Ta,Ru,3,Ta,1.5,-1.1,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,73,180.95,5,6,2,1.33,3290,5731,36.6,16.4,7.55,2.34,1.05,2.2,5.73,-1.41
Pd3Ta,Pd,3,Ta,1.5,-2.3,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,73,180.95,5,6,2,1.33,3290,5731,36.6,16.4,7.55,2.34,0.56,2.2,5.9,-1.83
Ru3Zr,Ru,3,Zr,1.7,-1.3,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,40,91.22,4,5,2.06,1.22,2128,4682,21,6.52,6.63,1.57,1.05,2.2,5.73,-1.41
Pd3Nb,Pd,3,Nb,1.7,-2.1,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,41,92.91,5,5,1.98,1.23,2750,5017,30,8.57,6.76,2.07,0.56,2.2,5.9,-1.83
Ru3Nb,Ru,3,Nb,1.5,-1,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,41,92.91,5,5,1.98,1.23,2750,5017,30,8.57,6.76,2.07,1.05,2.2,5.73,-1.41
Rh3Ga,Rh,3,Ga,1.8,0.8,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,31,69.72,13,4,1.36,1.82,303,2477,5.6,5.91,6,0.48,1.14,2.28,5.91,-1.73
Fe3Si,Fe,3,Si,1.6,-0.4,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45,14,28.09,14,3,1.11,1.74,1687,3538,50.2,2.33,8.15,1.28,0.15,1.83,5.54,-0.92
Ru3V,Ru,3,V,1.3,-1,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,23,50.94,5,4,1.71,1.45,2183,3680,21.5,6,6.75,2.38,1.05,2.2,5.73,-1.41
Pd3V,Pd,3,V,1.9,-1.7,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,23,50.94,5,4,1.71,1.45,2183,3680,21.5,6,6.75,2.38,0.56,2.2,5.9,-1.83
Cu3Al,Cu,3,Al,3,-0.4,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,13,26.98,13,3,1.18,1.47,933,2792,10.8,2.7,5.99,0.8,1.24,1.9,5.3,-2.67
Au3Al,Au,3,Al,3.5,-0.8,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,13,26.98,13,3,1.18,1.47,933,2792,10.8,2.7,5.99,0.8,2.31,2.54,6.01,-3.56
Ru3Sc,Ru,3,Sc,1.7,-1.2,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,21,44.96,3,4,1.84,1.2,1814,3109,14.1,2.99,6.56,1.2,1.05,2.2,5.73,-1.41
Fe3Pt,Fe,3,Pt,2.3,-0.3,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,0.15,1.83,5.54,-0.92
Fe3Ga,Fe,3,Ga,2.4,-0.1,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45,31,69.72,13,4,1.36,1.82,303,2477,5.6,5.91,6,0.48,0.15,1.83,5.54,-0.92
Au3Zn,Au,3,Zn,4.4,1.3,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,30,65.38,12,4,1.42,1.66,693,1180,7.1,7.14,9.39,0.35,2.31,2.54,6.01,-3.56
Co3Ga,Co,3,Ga,2.5,0.3,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,31,69.72,13,4,1.36,1.82,303,2477,5.6,5.91,6,0.48,0.66,1.88,5.76,-1.17
Ni3Zn,Ni,3,Zn,2.2,0.3,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,30,65.38,12,4,1.42,1.66,693,1180,7.1,7.14,9.39,0.35,1.16,1.91,5.77,-1.29
Cu3Ga,Cu,3,Ga,3.5,0.6,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,31,69.72,13,4,1.36,1.82,303,2477,5.6,5.91,6,0.48,1.24,1.9,5.3,-2.67
Rh3Zn,Rh,3,Zn,1.7,0.6,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,30,65.38,12,4,1.42,1.66,693,1180,7.1,7.14,9.39,0.35,1.14,2.28,5.91,-1.73
Rh3In,Rh,3,In,1.7,0.7,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,49,114.82,13,5,1.56,1.49,430,2345,3.3,7.31,5.79,0.3,1.14,2.28,5.91,-1.73
Fe3Ge,Fe,3,Ge,2.9,0.1,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45,32,72.64,14,4,1.25,2.02,1211,3106,36.9,5.32,7.9,0.87,0.15,1.83,5.54,-0.92
Cu3Zn,Cu,3,Zn,3.7,0.7,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,30,65.38,12,4,1.42,1.66,693,1180,7.1,7.14,9.39,0.35,1.24,1.9,5.3,-2.67
Au3Ga,Au,3,Ga,4.1,0.6,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,31,69.72,13,4,1.36,1.82,303,2477,5.6,5.91,6,0.48,2.31,2.54,6.01,-3.56
Rh3Cr,Rh,3,Cr,1.3,-1.2,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,24,52,6,4,1.66,1.56,2180,2944,21,7.15,6.77,3.2,1.14,2.28,5.91,-1.73
Ru3Ga,Ru,3,Ga,2.1,0.3,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,31,69.72,13,4,1.36,1.82,303,2477,5.6,5.91,6,0.48,1.05,2.2,5.73,-1.41
